,id_oke,wojewodztwo,powiat,powiat_kod,liczba_zdajacych,wynik_avg,wynik_std,wynik_mediana,wynik_modalna,klasa_avg,wynagrodzenie_median
154,4,Podlaskie,grajewski,2004000,289,58.155709342560556,28.918450730682714,56.0,100,16,6243.14
155,4,Podlaskie,hajnowski,2005000,94,58.96808510638298,33.36434972397028,66.5,25,16,6443.81
156,4,Podlaskie,kolneński,2006000,187,50.26737967914438,27.85626121459668,44.0,31,12,5940.93
157,4,Podlaskie,moniecki,2008000,155,57.44516129032258,30.390393629796655,56.0,96,16,6040.72
158,4,Podlaskie,sejneński,2009000,93,51.60215053763441,27.975849717536704,47.0,91,13,6396.47
159,4,Podlaskie,siemiatycki,2010000,182,56.137362637362635,28.44288338095033,53.0,96,17,6027.28
160,4,Podlaskie,sokólski,2011000,249,57.58232931726908,30.413387604446456,55.0,98,13,6132.77
161,4,Podlaskie,suwalski,2012000,153,55.294117647058826,29.745518111992357,45.0,93,16,6126.69
163,4,Podlaskie,wysokomazowiecki,2013000,344,58.08139534883721,29.62977568857596,55.5,98,16,6146.91
164,4,Podlaskie,zambrowski,2014000,224,50.526785714285715,29.997606994269603,38.0,100,17,5843.88
166,4,Podlaskie,łomżyński,2007000,269,62.405204460966544,30.199142797465125,65.0,96,13,6023.68
167,4,Warmińsko-Mazurskie,bartoszycki,2801000,231,53.85281385281385,29.442952079354534,49.0,22,14,6024.16
168,4,Warmińsko-Mazurskie,braniewski,2802000,164,58.02439024390244,28.19659883042293,54.5,22,16,6336.19
169,4,Warmińsko-Mazurskie,działdowski,2803000,231,54.913419913419915,28.725470876014914,53.0,20,17,5656.89
171,4,Warmińsko-Mazurskie,elbląski,2804000,260,55.66153846153846,29.817277863205376,51.0,96,16,5999.47
172,4,Warmińsko-Mazurskie,ełcki,2805000,432,63.111111111111114,28.93489925784654,67.0,100,19,6092.63
173,4,Warmińsko-Mazurskie,giżycki,2806000,249,54.28112449799197,29.161943710673675,45.0,25,18,6272.57
174,4,Warmińsko-Mazurskie,gołdapski,2818000,110,54.60909090909091,30.977732605137064,44.5,96,16,6253.75
175,4,Warmińsko-Mazurskie,iławski,2807000,464,55.29956896551724,29.86555217488471,53.0,24,17,5736.0
176,4,Warmińsko-Mazurskie,kętrzyński,2808000,244,55.16393442622951,30.902374213986764,53.0,22,16,5991.82
177,4,Warmińsko-Mazurskie,lidzbarski,2809000,221,55.484162895927604,29.91293509232618,49.0,24,17,5933.7
178,4,Warmińsko-Mazurskie,mrągowski,2810000,178,57.42134831460674,29.394966212456957,59.0,87,18,5813.64
179,4,Warmińsko-Mazurskie,nidzicki,2811000,147,52.45578231292517,29.432092090032434,47.0,85,15,5533.18
180,4,Warmińsko-Mazurskie,nowomiejski,2812000,230,53.88695652173913,29.73806379983955,45.0,27,17,5268.33
181,4,Warmińsko-Mazurskie,olecki,2813000,154,51.59090909090909,29.32323524353307,44.0,22,17,6122.82
